Rate_EUR,Date_EUR_HUF
"394,27",9/17/2024
"394,47",9/18/2024
"394,70",9/19/2024
"394,39",9/20/2024
"394,39",9/21/2024
"394,39",9/22/2024
"394,46",9/23/2024
"394,91",9/24/2024
"395,11",9/25/2024
"395,98",9/26/2024
"396,85",9/27/2024
"396,85",9/28/2024
"396,85",9/29/2024
"397,56",9/30/2024
"397,29",10/1/2024
"398,86",10/2/2024
"400,07",10/3/2024
"401,71",10/4/2024
"401,71",10/5/2024
"401,71",10/6/2024
"401,50",10/7/2024
"401,10",10/8/2024
"399,97",10/9/2024
"400,23",10/10/2024
"400,94",10/11/2024
"400,94",10/12/2024
"400,94",10/13/2024
"400,91",10/14/2024
"400,37",10/15/2024
"400,58",10/16/2024
"401,66",10/17/2024
"400,05",10/18/2024
