,search_log_id,rooms_total_price,upsell_total_price,vouchers_total_price,loyalty_discount_total,search_log_session_id,lang_code,currency,arrival,departure,days,nights,adults,children,utc_date,Rate_EUR,total_price_HUF
0,112857,119952.2,3500.0,0,11995.2,4205,hu,HUF,2025-02-13,2025-02-15,3,2,2,0,2024-09-18,394.47,99683.0
1,112906,377114.4,0.0,0,37711.4,4234,hu,HUF,2024-11-07,2024-11-10,4,3,2,2,2024-09-18,394.47,302444.0
2,113050,312877.8,0.0,0,46930.1,4302,en,EUR,2024-10-06,2024-10-10,5,4,2,0,2024-09-18,394.47,245530.0
3,113057,452160.0,0.0,0,45216.0,4315,hu,HUF,2024-10-13,2024-10-19,7,6,2,0,2024-09-18,394.47,406944.0
4,113070,167843.3,0.0,0,27515.3,4321,hu,HUF,2024-11-10,2024-11-12,3,2,4,0,2024-09-18,394.47,127885.0
5,113105,104700.6,0.0,0,11505.6,4339,hu,HUF,2024-11-30,2024-12-02,3,2,2,0,2024-09-18,394.47,88195.0
6,113134,281520.0,0.0,0,28152.0,4353,hu,HUF,2024-09-20,2024-09-24,5,4,2,0,2024-09-18,394.47,232162.0
7,113151,168912.2,0.0,0,16891.2,4359,hu,HUF,2024-12-06,2024-12-08,3,2,2,2,2024-09-18,394.47,147021.0
8,113152,288206.0,0.0,0,31671.0,4362,hu,HUF,2024-10-31,2024-11-03,4,3,2,1,2024-09-18,394.47,251535.0
9,113256,248121.6,0.0,0,24812.2,4420,en,EUR,2024-09-20,2024-09-22,3,2,2,1,2024-09-18,394.47,255403.5
10,113302,143354.8,0.0,0,23500.8,4452,hu,HUF,2024-10-04,2024-10-06,3,2,2,0,2024-09-18,394.47,101286.0
11,113311,142571.2,0.0,0,15667.2,4453,hu,HUF,2024-10-04,2024-10-06,3,2,2,0,2024-09-18,394.47,88833.0
12,113308,193764.4,0.0,0,19376.4,4449,hu,HUF,2025-01-19,2025-01-21,3,2,2,2,2024-09-18,394.47,169388.0
13,113432,282243.3,0.0,0,28224.3,4521,en,EUR,2024-11-17,2024-11-22,6,5,2,0,2024-09-18,394.47,254019.0
14,113696,369107.8,0.0,0,36910.8,4653,hu,HUF,2024-12-20,2024-12-24,5,4,2,2,2024-09-18,394.47,319535.0
15,113840,92498.9,0.0,0,9249.9,4915,hu,HUF,2024-09-21,2024-09-22,2,1,2,0,2024-09-19,394.7,78249.0
16,113877,331200.0,0.0,0,33120.0,4936,hu,HUF,2024-09-22,2024-09-27,6,5,2,1,2024-09-19,394.7,298080.0
17,113894,104480.0,0.0,0,10448.0,4954,hu,HUF,2025-01-19,2025-01-21,3,2,2,0,2024-09-19,394.7,89032.0
18,113912,288525.7,0.0,0,0.0,4965,en,EUR,2024-09-20,2024-09-22,3,2,2,2,2024-09-19,394.7,288525.7
19,113917,106855.6,0.0,0,10685.6,4964,hu,HUF,2024-12-15,2024-12-17,3,2,2,0,2024-09-19,394.7,91170.0
20,113950,67130.1,0.0,0,8606.5,4985,hu,HUF,2024-10-12,2024-10-13,2,1,1,0,2024-09-19,394.7,53424.7
21,113963,198613.0,0.0,0,19861.3,4992,en,EUR,2024-10-06,2024-10-09,4,3,2,0,2024-09-19,394.7,178751.7
22,113992,224634.4,0.0,0,22463.4,5014,hu,HUF,2025-01-19,2025-01-21,3,2,3,2,2024-09-19,394.7,197171.0
23,114000,113524.6,0.0,0,18610.6,5019,hu,HUF,2024-11-10,2024-11-12,3,2,2,0,2024-09-19,394.7,94914.0
24,114033,71634.4,4800.0,0,7163.4,5046,hu,HUF,2024-09-21,2024-09-22,2,1,1,1,2024-09-19,394.7,69271.0
25,114046,558895.2,0.0,0,83834.3,5056,de,EUR,2024-10-14,2024-10-18,5,4,4,0,2024-09-19,394.7,475060.9
26,114059,78588.9,0.0,0,7858.9,5067,hu,HUF,2024-12-09,2024-12-10,2,1,2,0,2024-09-19,394.7,65730.0
27,114104,170417.2,0.0,0,18727.2,5082,hu,HUF,2024-10-28,2024-10-30,3,2,2,0,2024-09-19,394.7,151690.0
28,114145,734400.0,0.0,0,73440.0,5110,hu,HUF,2024-12-27,2024-12-30,4,3,6,1,2024-09-19,394.7,655960.0
29,114148,771120.0,0.0,0,77112.0,5110,hu,HUF,2024-12-27,2024-12-30,4,3,6,2,2024-09-19,394.7,689008.0
30,114170,267840.0,0.0,0,26784.0,5128,hu,HUF,2025-06-15,2025-06-20,6,5,2,0,2024-09-19,394.7,236056.0
31,114241,372596.8,0.0,0,37259.7,5162,en,EUR,2024-10-13,2024-10-18,6,5,2,0,2024-09-19,394.7,330403.4
32,114256,106962.1,0.0,0,11754.1,5175,hu,HUF,2024-10-06,2024-10-08,3,2,2,0,2024-09-19,394.7,90208.0
33,114271,239519.7,0.0,0,35929.5,5187,en,EUR,2024-10-07,2024-10-10,4,3,2,0,2024-09-19,394.7,169180.3
34,114274,169186.7,0.0,0,16918.7,5190,hu,HUF,2024-11-10,2024-11-13,4,3,2,0,2024-09-19,394.7,130993.0
35,114289,407237.8,0.0,0,40723.8,5197,hu,HUF,2024-10-20,2024-10-23,4,3,3,1,2024-09-19,394.7,343720.0
36,114335,292536.5,0.0,0,43880.5,5217,hu,HUF,2024-09-27,2024-09-29,3,2,2,1,2024-09-19,394.7,248656.0
37,114358,65201.2,0.0,0,9780.2,5233,hu,HUF,2024-09-21,2024-09-22,2,1,1,0,2024-09-19,394.7,55421.0
38,114367,361080.0,3500.0,0,36108.0,5242,hu,HUF,2024-12-31,2025-01-03,4,3,2,2,2024-09-19,394.7,309304.0
39,114645,662400.0,0.0,0,66240.0,5510,hu,HUF,2024-09-20,2024-09-25,6,5,4,0,2024-09-19,394.7,596160.0
40,114646,220320.0,0.0,0,22032.0,5510,hu,HUF,2024-09-20,2024-09-23,4,3,2,0,2024-09-19,394.7,198288.0
41,114650,205020.0,0.0,0,20502.0,5513,hu,HUF,2024-09-20,2024-09-22,3,2,2,2,2024-09-19,394.7,179518.0
42,114780,277111.8,0.0,0,41566.8,5631,hu,HUF,2024-12-06,2024-12-08,3,2,2,2,2024-09-19,394.7,235545.0
43,114812,181025.0,0.0,0,18102.5,5663,en,EUR,2024-09-27,2024-09-29,3,2,2,0,2024-09-20,394.39,162922.5
44,114825,86935.6,0.0,0,8693.6,5669,hu,HUF,2024-09-21,2024-09-22,2,1,2,0,2024-09-20,394.39,78242.0
45,114830,556705.1,0.0,0,0.0,5676,de,EUR,2024-11-10,2024-11-13,4,3,4,0,2024-09-20,394.39,556705.1
46,114851,129722.8,0.0,0,21265.5,5682,de,EUR,2024-10-06,2024-10-08,3,2,2,0,2024-09-20,394.39,75920.1
47,115003,373680.0,0.0,0,37368.0,5766,hu,HUF,2025-01-04,2025-01-06,3,2,6,0,2024-09-20,394.39,288131.0
48,115031,201593.0,0.0,0,33048.0,5784,hu,HUF,2024-11-08,2024-11-10,3,2,2,2,2024-09-20,394.39,143146.0
49,115060,458596.7,0.0,0,45859.7,5799,en,EUR,2024-09-29,2024-10-02,4,3,4,0,2024-09-20,394.39,412737.0
50,115103,205020.0,0.0,0,20502.0,5815,de,HUF,2024-09-21,2024-09-23,3,2,2,0,2024-09-20,394.39,142088.0
51,115102,143067.8,0.0,0,14306.8,5814,hu,HUF,2024-09-23,2024-09-25,3,2,2,0,2024-09-20,394.39,128761.0
52,115124,339840.0,0.0,0,33984.0,5840,hu,HUF,2024-09-22,2024-09-27,6,5,2,0,2024-09-20,394.39,305856.0
53,115145,76850.0,0.0,0,7685.0,5850,hu,HUF,2024-09-28,2024-09-29,2,1,1,0,2024-09-20,394.39,69165.0
54,115189,356400.0,0.0,0,35640.0,5877,hu,HUF,2024-09-23,2024-09-27,5,4,4,0,2024-09-20,394.39,315760.0
55,115270,195274.1,0.0,0,32012.1,5928,hu,HUF,2024-10-06,2024-10-09,4,3,2,0,2024-09-20,394.39,144840.0
56,115271,384372.5,0.0,0,42239.2,5919,en,EUR,2024-10-17,2024-10-20,4,3,3,0,2024-09-20,394.39,342133.3
57,115548,208080.0,26400.0,0,20808.0,6182,hu,HUF,2024-11-08,2024-11-10,3,2,2,2,2024-09-20,394.39,208672.0
58,115750,109821.8,0.0,0,12068.3,6368,de,EUR,2024-12-15,2024-12-17,3,2,2,0,2024-09-21,394.39,92823.6
59,115764,115165.6,8350.0,0,11516.6,6374,hu,HUF,2024-11-03,2024-11-05,3,2,2,0,2024-09-21,394.39,111999.0
60,115774,165939.6,0.0,0,0.0,6381,hu,EUR,2024-10-18,2024-10-20,3,2,2,0,2024-09-21,394.39,165939.6
61,115772,210743.3,0.0,0,21074.3,6383,hu,HUF,2024-09-23,2024-09-26,4,3,2,0,2024-09-21,394.39,189669.0
62,115793,129212.2,0.0,0,12921.2,6396,hu,HUF,2025-03-14,2025-03-16,3,2,2,0,2024-09-21,394.39,99055.0
63,115806,147572.2,0.0,0,14757.2,6405,hu,HUF,2024-11-24,2024-11-26,3,2,2,0,2024-09-21,394.39,127815.0
