,date,utm_source_and_medium,utm_campaign,user_count,session_count
0,2024-09-18,(not set),(not set),545,690
1,2024-09-18,(direct) / (none),(direct),253,304
2,2024-09-18,google / cpc,(not set),259,273
3,2024-09-18,google / organic,(organic),144,170
4,2024-09-18,facebook / cpc,campaign_14,125,128
5,2024-09-18,google / cpc,hu_brand,97,114
6,2024-09-18,google / cpc,campaign_15,99,105
7,2024-09-18,google / cpc,campaign_16,67,76
8,2024-09-18,google / cpc,campaign_17,54,58
9,2024-09-18,google / cpc,hu_pmax_brand,41,43
10,2024-09-18,facebook / cpc,campaign_18,27,27
11,2024-09-18,l.facebook.com / referral,(referral),24,26
12,2024-09-18,m.facebook.com / referral,(referral),15,24
13,2024-09-18,google / cpc,campaign_19,15,24
14,2024-09-18,google / cpc,(organic),17,21
15,2024-09-18,ntp.msn.com / referral,(referral),13,17
16,2024-09-18,redir.d-edgeconnect.media / referral,(referral),16,17
17,2024-09-18,google / cpc,campaign_20,13,17
18,2024-09-18,ajanlat / offline,campaign_2,13,17
19,2024-09-18,google / cpc,campaign_22,11,14
20,2024-09-18,facebook / cpc,campaign_21,13,14
21,2024-09-18,google / cpc,campaign_24,9,14
22,2024-09-18,msn.com / referral,(referral),6,13
23,2024-09-18,source_1,(referral),9,11
24,2024-09-18,google / cpc,campaign_23,10,10
25,2024-09-18,google / cpc,campaign_25,7,9
26,2024-09-18,ajanlat / offline,proposal-by-phone,7,9
27,2024-09-18,googleads.g.doubleclick.net / referral,(referral),8,8
28,2024-09-18,bing / cpc,campaign_36,0,8
29,2024-09-18,bing / cpc,campaign_9,8,8
30,2024-09-18,google / cpc,campaign_26,6,8
31,2024-09-18,lm.facebook.com / referral,(referral),6,6
32,2024-09-18,bing / cpc,campaign_28,5,6
33,2024-09-18,google / cpc,utm_campaign,4,6
34,2024-09-18,bing / organic,(organic),4,5
35,2024-09-18,google / cpc,campaign_27,5,5
36,2024-09-18,seznam / organic,(organic),3,4
37,2024-09-18,bing / cpc,campaign_37,0,4
38,2024-09-18,google / cpc,campaign_30,3,4
39,2024-09-18,bing / cpc,campaign_29,4,4
40,2024-09-18,(direct) / (none),(not set),2,3
41,2024-09-18,google / organic,(not set),3,3
42,2024-09-18,email.seznam.cz / referral,(referral),2,3
43,2024-09-18,hotelcms.hu / referral,(referral),3,3
44,2024-09-18,bing / cpc,campaign_13,0,3
45,2024-09-18,statics.teams.cdn.office.net / referral,(referral),1,2
46,2024-09-18,world.a1.net / referral,(referral),1,2
47,2024-09-18,bing / cpc,campaign_33,1,2
48,2024-09-18,source_9,hirlevel_c3,1,2
49,2024-09-18,live / organic,(not set),0,1
50,2024-09-18,(direct) / (none),(not+set),1,1
51,2024-09-18,google / organic,(not+set),1,1
52,2024-09-18,app.zoomsphere.com / referral,(referral),0,1
53,2024-09-18,connexservice.com / referral,(referral),1,1
54,2024-09-18,source_10,(referral),1,1
55,2024-09-18,economica.net / referral,(referral),1,1
56,2024-09-18,source_22,(referral),0,1
57,2024-09-18,instagram.com / referral,(referral),0,1
58,2024-09-18,mail.google.com / referral,(referral),0,1
59,2024-09-18,zadir.hu / referral,(referral),0,1
60,2024-09-18,fb / paid,campaign_8,1,1
61,2024-09-18,bing / cpc,campaign_31,1,1
62,2024-09-18,bing / cpc,campaign_6,0,1
63,2024-09-18,bing / cpc,campaign_32,1,1
64,2024-09-18,source_11,campaign_4,1,1
65,2024-09-18,google / cpc,campaign_34,1,1
66,2024-09-18,bing / cpc,campaign_38,0,1
67,2024-09-18,bing / cpc,campaign_39,0,1
68,2024-09-18,bing / cpc,campaign_35,1,1
69,2024-09-18,bing / cpc,campaign_40,0,1
70,2024-09-18,facebook / cpc,campaign_1,0,1
71,2024-09-18,email / offline,proposal-by-phone,0,1
72,2024-09-18,phone / offline,proposal-by-phone,1,1
73,2024-09-19,bing / cpc,campaign_31,4,7
74,2024-09-19,phone / offline,proposal-by-phone,0,1
75,2024-09-19,(direct) / (none),(direct),233,282
76,2024-09-19,google / organic,(organic),129,152
77,2024-09-19,google / cpc,hu_brand,95,110
78,2024-09-19,facebook / cpc,campaign_14,102,108
79,2024-09-19,google / cpc,campaign_16,84,100
80,2024-09-19,google / cpc,campaign_15,67,74
81,2024-09-19,google / cpc,campaign_17,54,56
82,2024-09-19,google / cpc,hu_pmax_brand,47,49
83,2024-09-19,facebook / cpc,campaign_18,45,46
84,2024-09-19,m.facebook.com / referral,(referral),26,31
85,2024-09-19,l.facebook.com / referral,(referral),27,28
86,2024-09-19,google / cpc,campaign_24,23,27
87,2024-09-19,ntp.msn.com / referral,(referral),17,26
