,date,Google,META,Microsoft,Unpaid
0,2024-09-18,718,165,21,1087
1,2024-09-19,684,153,28,1054
2,2024-09-20,690,159,25,953
3,2024-09-21,638,172,27,925
4,2024-09-22,725,267,20,1064
5,2024-09-23,796,298,42,1221
6,2024-09-24,694,416,32,1235
7,2024-09-25,584,304,45,1040
8,2024-09-26,557,318,39,1255
9,2024-09-27,509,135,36,988
10,2024-09-28,465,153,37,855
11,2024-09-29,569,146,18,893
12,2024-09-30,546,115,22,961
13,2024-10-01,597,96,21,772
14,2024-10-02,619,111,29,798
15,2024-10-03,636,89,29,764
16,2024-10-04,591,78,41,680
17,2024-10-05,642,70,29,591
18,2024-10-06,711,75,24,777
19,2024-10-07,705,65,45,836
20,2024-10-08,716,69,40,891
21,2024-10-09,836,57,27,1020
22,2024-10-10,747,59,25,1282
23,2024-10-11,685,62,35,946
24,2024-10-12,773,76,23,943
25,2024-10-13,613,81,13,1463
26,2024-10-14,498,75,31,755
27,2024-10-15,707,117,33,674
28,2024-10-16,424,151,25,660
29,2024-10-17,465,154,25,726
30,2024-10-18,514,150,23,590
