,id,search_log_id,adults,children,picked_price,picked_room
0,5794,112645,2,0,,
1,5797,112648,2,1,,
2,5829,112680,2,0,,
3,5831,112682,4,0,,
4,5863,112714,2,0,,
5,5906,112757,2,0,,
6,5907,112758,2,0,,
7,5908,112759,2,0,,
8,5909,112760,2,0,,
9,5910,112761,2,0,,
10,5911,112762,2,0,,
11,5913,112764,2,0,,
12,5914,112765,2,0,,
13,5915,112766,2,3,,
14,5916,112767,2,3,,
15,5917,112768,2,3,,
16,5919,112770,2,1,,
17,5920,112771,2,0,,
18,5921,112772,2,0,,
19,5922,112773,2,2,,
20,5923,112774,2,2,,
21,5924,112775,2,2,,
22,5925,112776,1,1,,
23,5926,112776,1,1,,
24,5927,112777,2,0,,
25,5928,112778,2,0,,
26,5929,112779,2,0,,
27,5930,112780,2,0,,
28,5931,112781,2,0,,
29,5932,112782,2,0,,
30,5933,112783,2,0,,
31,5934,112784,2,0,,
32,5935,112785,2,0,,
33,5936,112786,2,0,,
34,5937,112787,2,0,,
35,5938,112788,2,0,,
36,5939,112789,2,0,,
37,5940,112790,2,3,,
38,5941,112791,2,0,,
39,5942,112792,2,0,,
40,5943,112793,2,0,,
41,5944,112794,2,3,,
42,5945,112795,2,2,,
43,5946,112796,2,0,,
44,5947,112797,2,0,,
45,5948,112798,2,0,,
46,5949,112799,2,3,,
47,5950,112800,2,0,,
48,5951,112801,2,0,,
49,5952,112802,2,0,,
50,5953,112803,3,0,,
51,5954,112804,2,1,,
52,5955,112804,1,1,,
53,5956,112805,2,0,,
54,5957,112806,2,2,,
55,5958,112807,3,0,,
56,5959,112808,2,1,,
57,5960,112809,2,0,,
58,5961,112810,2,1,,
59,5962,112811,2,0,,
60,5963,112812,2,2,,
61,5964,112813,1,1,,
62,5965,112813,1,1,,
63,5966,112814,2,2,,
64,5967,112815,2,0,,
65,5968,112816,2,0,,
66,5969,112817,2,1,,
67,5970,112818,2,1,,
68,5971,112819,2,0,,
69,5972,112820,2,0,,
70,5973,112821,2,0,,
71,5974,112822,2,0,,
72,5975,112823,2,1,,
73,5976,112824,2,0,,
74,5977,112825,2,0,,
75,5978,112826,2,1,,
76,5979,112827,2,0,,
77,5980,112828,2,2,,
78,5981,112829,2,0,,
79,5983,112831,2,0,,
80,5984,112832,2,0,,
81,5985,112833,2,2,,
82,5986,112834,2,1,,
83,5987,112835,2,0,,
84,5988,112836,2,0,,
85,5989,112836,2,0,,
86,5990,112837,2,0,,
87,5991,112838,2,0,,
88,5992,112838,2,0,,
89,5993,112838,2,0,,
90,5994,112839,2,0,,
91,5995,112840,2,0,,
92,5996,112841,2,0,,
93,5997,112842,2,0,,
94,5998,112843,2,0,,
95,5999,112844,2,0,,
96,6000,112845,2,0,,
97,6001,112846,2,0,,
98,6002,112847,2,0,,
99,6003,112848,2,0,,
100,6004,112849,3,0,,
101,6005,112850,2,0,,
102,6006,112851,2,1,,
103,6007,112852,2,0,,
104,6008,112853,2,0,,
105,6009,112854,1,0,,
106,6010,112855,2,0,,
107,6011,112856,2,0,,
108,6012,112857,2,0,107957.0,ROOMFF
109,6013,112858,2,0,,
110,6014,112859,2,1,,
111,6015,112860,2,0,,
112,6016,112861,2,1,,
113,6017,112862,2,2,,
114,6018,112863,2,2,,
115,6019,112864,2,0,,
116,6020,112865,2,3,,
117,6021,112866,2,3,,
118,6022,112867,2,3,,
119,6023,112868,2,0,,
120,6024,112869,2,3,,
121,6025,112870,2,3,,
122,6026,112871,2,0,,
123,6027,112872,2,0,,
124,6028,112873,2,0,,
125,6029,112873,2,0,,
126,6030,112873,2,0,,
127,6031,112874,2,0,,
128,6032,112875,2,0,,
129,6033,112876,2,0,,
130,6034,112877,2,0,,
131,6035,112878,2,0,,
132,6036,112879,2,2,,
133,6037,112880,2,2,,
134,6038,112881,1,2,,
135,6039,112882,2,0,,
136,6040,112883,2,2,,
137,6041,112884,2,2,,
138,6042,112885,2,2,,
139,6043,112886,2,2,,
140,6044,112887,2,2,,
141,6045,112888,2,0,,
142,6046,112889,2,1,,
143,6047,112890,2,0,,
144,6048,112891,2,0,,
145,6049,112892,2,1,,
146,6050,112893,2,0,,
147,6051,112894,2,1,,
148,6052,112895,2,0,,
149,6053,112896,2,0,,
150,6054,112897,2,0,,
151,6055,112898,2,0,,
152,6056,112899,2,0,,
153,6057,112900,2,0,,
154,6059,112902,1,0,,
155,6060,112903,2,0,,
156,6061,112904,2,0,,
157,6062,112905,2,0,,
158,6063,112906,2,2,339403.0,ROOMAA
159,6064,112907,2,1,,
160,6065,112908,2,1,,
161,6066,112909,2,0,,
162,6067,112910,2,2,,
163,6068,112911,2,1,,
164,6069,112912,2,0,,
165,6070,112913,2,1,,
166,6071,112914,2,0,,
167,6072,112915,2,0,,
168,6073,112916,2,3,,
169,6074,112917,2,2,,
170,6075,112918,2,2,,
171,6076,112919,2,3,,
172,6077,112920,2,0,,
173,6078,112921,2,2,,
174,6079,112922,2,2,,
175,6080,112923,2,3,,
176,6081,112924,2,1,,
177,6082,112925,2,0,,
178,6083,112926,2,2,,
179,6084,112927,2,1,,
180,6085,112928,2,0,,
181,6086,112929,2,1,,
182,6089,112932,2,2,,
183,6092,112935,2,0,,
184,6093,112936,2,2,,
185,6094,112937,2,0,,
186,6095,112938,2,0,,
187,6096,112939,2,0,,
188,6097,112940,2,1,,
189,6098,112941,2,2,,
190,6099,112942,2,0,,
191,6100,112943,2,0,,
192,6101,112944,2,0,,
193,6102,112945,2,0,,
194,6103,112946,2,0,,
