,id,search_log_room_id,age,baby_bed
0,1398,3839,14,0
1,1399,3839,12,0
2,1400,3839,7,0
3,1401,3841,1,0
4,1402,3841,1,0
5,1403,3841,3,0
6,1404,3842,6,0
7,1405,3842,1,0
8,1406,3843,6,0
9,1407,3843,1,0
10,1408,3844,9,0
11,1409,3844,12,0
12,1410,3853,12,0
13,1411,3855,12,0
14,1412,3856,8,0
15,1413,3857,6,0
16,1414,3857,13,0
17,1415,3858,5,0
18,1416,3859,14,0
19,1417,3864,8,0
20,1418,3867,8,0
21,1419,3872,5,0
22,1420,3872,2,1
23,1421,3873,8,0
24,1422,3873,11,0
25,1423,3874,8,0
26,1424,3874,11,0
27,1425,3875,8,0
28,1426,3876,11,0
29,1427,3879,0,1
30,1428,3884,11,0
31,1429,3884,8,0
32,1430,3885,11,0
33,1431,3885,8,0
34,1432,3890,14,0
35,1433,3891,14,0
36,1434,3892,2,1
37,1435,3895,10,0
38,1436,3895,3,0
39,1437,3903,8,0
40,1438,3905,12,0
41,1439,3906,12,0
42,1440,3907,12,0
43,1441,3908,0,0
44,1442,3908,6,0
45,1443,3908,10,0
46,1444,3912,5,0
47,1445,3912,0,1
48,1446,3917,8,0
49,1447,3917,8,0
50,1448,3917,5,0
51,1449,3921,11,0
52,1450,3923,10,0
53,1451,3923,13,0
54,1452,3926,3,0
55,1453,3926,8,0
56,1454,3927,3,0
57,1455,3927,8,0
58,1456,3928,3,0
59,1457,3928,8,0
60,1458,3933,10,0
61,1459,3934,11,0
62,1460,3934,6,0
63,1461,3935,10,0
64,1462,3938,8,0
65,1463,3938,8,0
66,1464,3943,0,1
67,1465,3943,3,0
68,1466,3943,4,0
69,1467,3943,6,0
70,1468,3954,11,0
71,1469,3954,13,0
72,1470,3962,3,0
73,1471,3962,7,0
74,1472,3966,3,0
75,1473,3966,5,0
76,1474,3968,7,0
77,1475,3968,11,0
78,1476,3970,2,0
79,1477,3970,8,0
80,1478,3972,2,0
81,1479,3972,8,0
82,1480,3987,4,0
83,1481,3987,7,0
84,1482,3987,9,0
85,1483,3992,0,0
86,1484,4012,10,0
87,1485,4012,13,0
88,1486,4013,10,0
89,1487,4014,10,0
90,1488,4014,7,0
91,1489,4015,0,1
92,1490,4016,0,1
93,1491,4017,7,0
94,1492,4021,13,0
95,1493,4021,15,0
96,1494,4022,14,0
97,1495,4022,15,0
98,1496,4023,12,0
99,1497,4023,15,0
