,date,utm_source_and_medium,utm_campaign,user_count,session_count
0,2024-09-18,google / cpc,(organic),73,82
1,2024-09-18,(direct) / (none),(direct),48,52
2,2024-09-18,google / organic,(organic),23,30
3,2024-09-18,google / cpc,(not set),23,25
4,2024-09-18,google / cpc,HU | GSN | PERF I Brand,17,22
5,2024-09-18,google / cpc,HU | pMAX | PERF I Brand,18,18
6,2024-09-18,google / cpc,HU | GSN | PERF I Lokáció,15,16
7,2024-09-18,google / cpc,AT | pMAX Hotel | PERF I Brand,8,11
8,2024-09-18,google / cpc,HU | GSN | PERF I Brand 2,8,9
9,2024-09-18,facebook / cpc,campaign_18,9,9
10,2024-09-18,facebook / cpc,campaign_17,9,9
11,2024-09-18,redir.d-edgeconnect.media / referral,(referral),7,8
12,2024-09-18,google / cpc,AT | GSN | PERF I Brand,5,5
13,2024-09-18,hirlevel / ct,campaign_3,4,5
14,2024-09-18,(not set),(not set),3,4
15,2024-09-18,l.facebook.com / referral,(referral),4,4
16,2024-09-18,google / cpc,DE | pMAX Hotel | PERF I Brand,4,4
17,2024-09-18,duckduckgo / organic,(organic),3,3
18,2024-09-18,google / cpc,(referral),1,2
19,2024-09-18,bing / cpc,AT | GSN | Brand 2024,2,2
20,2024-09-18,bing / cpc,campaign_33,1,2
21,2024-09-18,facebook / cpc,campaign_19,2,2
22,2024-09-18,ajanlat / offline,campaign_2,1,2
23,2024-09-18,bing / organic,(organic),1,1
24,2024-09-18,m.facebook.com / referral,(referral),1,1
25,2024-09-18,google / cpc,HU | GDN | ENGM I Programok '24,1,1
26,2024-09-18,google / cpc,campaign_27,1,1
27,2024-09-18,bing / cpc,HU | GSN | Brand 2024,1,1
28,2024-09-18,google / cpc,campaign_21,1,1
29,2024-09-18,google / cpc,campaign_23,1,1
30,2024-09-18,hirlevel_s1,hirlevel_c1,1,1
31,2024-09-18,ajanlat / email,campaign_7,1,1
32,2024-09-19,ajanlat / email,campaign_7,2,2
33,2024-09-19,facebook / cpc,campaign_20,1,1
34,2024-09-19,google / organic,(organic),39,43
35,2024-09-19,google / cpc,(not set),15,15
36,2024-09-19,google / cpc,HU | GSN | PERF I Brand,15,15
37,2024-09-19,google / cpc,HU | pMAX | PERF I Brand,13,13
38,2024-09-19,google / cpc,HU | GSN | PERF I Brand 2,9,12
39,2024-09-19,google / cpc,HU | GSN | PERF I Lokáció,11,12
40,2024-09-19,facebook / cpc,campaign_18,8,8
41,2024-09-19,bing / organic,(organic),5,5
42,2024-09-19,google / cpc,AT | GSN | PERF I Brand,4,5
43,2024-09-19,google / cpc,AT | pMAX Hotel | PERF I Brand,4,5
44,2024-09-19,facebook / cpc,campaign_17,4,4
45,2024-09-19,google / cpc,campaign_21,3,3
46,2024-09-19,l.facebook.com / referral,(referral),2,2
47,2024-09-19,m.facebook.com / referral,(referral),2,2
48,2024-09-19,google / cpc,AT | GSN | PERF | Lokáció,2,2
49,2024-09-19,hirlevel / ct,campaign_3,2,2
50,2024-09-19,google / cpc,(organic),55,60
51,2024-09-19,(not set),(not set),0,1
