,utc_date,0,Google,META,Microsoft,UNPAID
0,2024-09-18,2,9,0,0,2
1,2024-09-19,7,10,0,0,1
2,2024-09-20,3,7,0,0,2
3,2024-09-21,2,5,0,0,4
4,2024-09-22,2,7,1,0,4
5,2024-09-23,5,10,0,0,4
6,2024-09-24,4,7,1,0,2
7,2024-09-25,3,11,0,0,2
8,2024-09-26,2,5,1,0,3
9,2024-09-27,3,8,0,0,0
10,2024-09-28,3,3,0,0,5
11,2024-09-29,1,11,0,0,1
12,2024-09-30,1,3,1,1,0
13,2024-10-01,1,12,0,1,3
14,2024-10-02,3,8,0,0,6
15,2024-10-03,0,11,0,0,2
16,2024-10-04,0,5,0,0,0
17,2024-10-05,0,6,0,0,0
18,2024-10-06,0,11,0,2,0
19,2024-10-07,2,9,0,2,2
20,2024-10-08,0,17,0,0,3
21,2024-10-09,0,21,0,0,4
22,2024-10-10,4,72,1,3,11
23,2024-10-11,0,30,1,1,7
24,2024-10-12,0,35,0,0,12
25,2024-10-13,2,87,1,2,36
26,2024-10-14,0,10,0,0,5
27,2024-10-15,0,12,0,0,2
28,2024-10-16,0,9,0,0,1
29,2024-10-17,0,8,0,0,4
30,2024-10-18,0,6,0,0,2
